event,station,SW_max_amp
20141213120841,DR14,1.18E-09
20141213130359,DR14,2.96E-10
20141213134704,DR14,5.10E-10
20141213151648,DR14,2.07E-10
20141213153828,DR14,7.32E-09
20141213155137,DR14,2.41E-09
20141213163712,DR14,2.09E-10
20141213172738,DR14,2.11E-09
20141213175006,DR14,3.60E-10
20141213182115,DR14,1.56E-10
20141213202229,DR14,2.15E-10
20141213205152,DR14,1.20E-09
20141213213208,DR14,2.08E-10
20141213221839,DR14,1.21E-10
20141213222055,DR14,8.31E-10
20141214003223,DR14,1.45E-10
20141214034505,DR14,1.38E-10
20141214055429,DR14,7.37E-10
20141214094054,DR14,2.92E-10
20141214100000,DR14,1.61E-10
20141214110827,DR14,3.26E-10
20141214111554,DR14,1.40E-10
20141214124709,DR14,1.73E-10
20141214125218,DR14,1.84E-10
20141214133744,DR14,1.39E-10
20141214151033,DR14,2.24E-10
20141214153224,DR14,2.09E-10
20141214155256,DR14,1.57E-10
20141214162308,DR14,2.17E-10
20141214165133,DR14,2.98E-10
20141214180918,DR14,7.35E-10
20141214201603,DR14,5.66E-10
20141214224109,DR14,5.54E-10
20141215034037,DR14,3.06E-10
20141215034054,DR14,4.77E-10
20141215045348,DR14,1.07E-10
20141215052512,DR14,1.54E-10
20141215053849,DR14,8.64E-09
20141215054424,DR14,5.32E-10
20141215064036,DR14,8.38E-10
20141215065124,DR14,1.19E-10
20141215085410,DR14,9.45E-10
20141215111338,DR14,3.05E-10
20141215111519,DR14,4.93E-10
20141215124916,DR14,2.02E-10
20141215125242,DR14,1.38E-10
20141215135901,DR14,4.02E-10
20141215141933,DR14,1.54E-10
20141215150513,DR14,5.72E-10
20141215153014,DR14,1.91E-10
20141215163345,DR14,3.05E-10
20141215173215,DR14,8.96E-11
20141215200603,DR14,1.74E-10
20141216011414,DR14,2.44E-10
20141216021133,DR14,6.90E-10
20141216035553,DR14,4.13E-10
20141216041117,DR14,1.49E-10
20141216051330,DR14,1.69E-10
20141216071622,DR14,4.22E-10
20141216083509,DR14,3.47E-10
20141216092235,DR14,1.67E-10
20141216093259,DR14,2.05E-09
20141216110131,DR14,9.37E-10
20141216115057,DR14,2.00E-10
20141216115319,DR14,9.80E-09
20141216130207,DR14,3.19E-10
20141216150024,DR14,1.67E-10
20141216150924,DR14,2.33E-10
20141216153756,DR14,3.09E-10
20141216154825,DR14,6.62E-09
20141216165957,DR14,7.52E-10
20141216185109,DR14,2.56E-10
20141216201905,DR14,1.55E-10
20141216232742,DR14,1.99E-10
20141217000750,DR14,6.67E-10
20141217010100,DR14,2.19E-10
20141217060323,DR14,1.03E-09
20141217065410,DR14,5.30E-10
20141217091514,DR14,4.51E-10
20141217101655,DR14,3.36E-10
20141217123321,DR14,1.96E-10
20141217124906,DR14,3.26E-10
20141217134005,DR14,3.51E-10
20141217135313,DR14,1.86E-10
20141217140008,DR14,1.46E-10
20141217142051,DR14,1.96E-10
20141217142842,DR14,1.67E-10
20141217150053,DR14,1.61E-10
20141217150449,DR14,1.32E-10
20141217151410,DR14,2.94E-10
20141217152050,DR14,5.25E-09
20141217155502,DR14,1.10E-10
20141217160346,DR14,7.11E-10
20141217161400,DR14,4.44E-10
20141217161412,DR14,1.57E-10
20141217163340,DR14,4.75E-09
20141217173249,DR14,1.59E-10
20141217181338,DR14,4.28E-10
20141217185336,DR14,7.19E-10
20141217213333,DR14,2.34E-10
20141217224043,DR14,4.74E-10
20141218003111,DR14,2.70E-10
20141218030525,DR14,1.19E-09
20141218041905,DR14,1.28E-10
20141218041906,DR14,1.28E-10
20141218050631,DR14,3.17E-10
20141218062623,DR14,1.98E-10
20141218063009,DR14,1.38E-10
20141218065539,DR14,4.58E-10
20141218081023,DR14,2.04E-10
20141218082116,DR14,1.83E-10
20141218092838,DR14,1.14E-10
20141218094123,DR14,2.56E-10
20141218135106,DR14,2.12E-10
20141218144545,DR14,1.70E-10
20141218151827,DR14,6.77E-10
20141218152230,DR14,7.17E-10
20141218155636,DR14,6.62E-10
20141218155829,DR14,4.83E-10
20141218184557,DR14,1.28E-09
20141218221449,DR14,1.69E-10
20141218224747,DR14,2.43E-10
20141219020501,DR14,1.81E-09
20141219064148,DR14,4.64E-09
20141219084906,DR14,4.18E-09
20141219092027,DR14,2.16E-10
20141219103433,DR14,4.39E-10
20141219123230,DR14,4.32E-10
20141219142519,DR14,2.47E-10
20141219150043,DR14,9.11E-10
20141219161433,DR14,3.69E-10
20141219162459,DR14,2.41E-10
20141219220703,DR14,3.29E-10
20141220002127,DR14,2.45E-10
20141220011155,DR14,6.10E-10
20141220031524,DR14,1.29E-10
20141220070356,DR14,4.43E-10
20141220085114,DR14,1.56E-10
20141220085825,DR14,2.82E-10
20141220092311,DR14,1.08E-09
20141220103752,DR14,2.82E-10
20141220104438,DR14,5.79E-10
20141220144120,DR14,1.73E-10
20141220150616,DR14,4.94E-10
20141220151458,DR14,2.57E-10
20141220161205,DR14,5.26E-10
20141220162414,DR14,6.24E-10
20141220182617,DR14,1.53E-10
20141220185726,DR14,2.05E-10
20141220194141,DR14,3.85E-10
20141220201954,DR14,1.50E-09
20141221003034,DR14,6.37E-10
20141221014948,DR14,2.33E-10
20141221033947,DR14,3.99E-10
20141221062639,DR14,1.20E-09
20141221083543,DR14,1.11E-10
20141221095529,DR14,4.87E-10
20141221095531,DR14,4.87E-10
20141221102126,DR14,1.59E-10
20141221102432,DR14,1.80E-10
20141221112004,DR14,6.34E-10
20141221112934,DR14,2.70E-10
20141221115727,DR14,3.29E-10
20141221122148,DR14,8.30E-10
20141221132343,DR14,5.45E-09
20141221135346,DR14,2.12E-10
20141221141706,DR14,3.72E-10
20141221145503,DR14,1.80E-10
20141221161331,DR14,2.11E-10
20141221162825,DR14,3.22E-10
20141221170712,DR14,2.09E-10
20141221174731,DR14,2.60E-10
20141221175223,DR14,1.79E-10
20141221180510,DR14,1.39E-10
20141221181252,DR14,1.26E-10
20141221182812,DR14,1.71E-10
20141221193138,DR14,4.05E-10
20141221200031,DR14,7.06E-10
20141222044554,DR14,5.97E-10
20141222071036,DR14,1.85E-10
20141222071623,DR14,1.82E-10
20141222081847,DR14,5.28E-10
20141222082040,DR14,1.48E-10
20141222111125,DR14,3.10E-10
20141222111458,DR14,1.19E-10
20141222113350,DR14,1.87E-10
20141222122048,DR14,1.85E-10
20141222123340,DR14,1.42E-10
20141222123952,DR14,1.91E-10
20141222133709,DR14,8.48E-10
20141222135048,DR14,1.53E-10
20141222140447,DR14,4.62E-10
20141222140508,DR14,4.06E-10
20141222140647,DR14,1.16E-10
20141222140855,DR14,1.19E-09
20141222140911,DR14,1.57E-09
20141222140926,DR14,6.79E-10
20141222140934,DR14,4.62E-10
20141222140948,DR14,4.74E-10
20141222141000,DR14,2.40E-10
20141222142708,DR14,1.44E-10
20141222144607,DR14,5.21E-10
20141222144954,DR14,3.49E-10
20141222153415,DR14,5.50E-09
20141222161242,DR14,3.35E-10
20141222163442,DR14,2.02E-10
20141222165029,DR14,1.68E-10
20141222191611,DR14,1.59E-10
20141222200244,DR14,5.00E-10
20141222232502,DR14,2.75E-10
20141222232934,DR14,2.10E-10
20141223065222,DR14,1.86E-10
20141223065837,DR14,1.54E-10
20141223071644,DR14,2.37E-10
20141223071935,DR14,1.74E-10
20141223092830,DR14,4.83E-08
20141223092835,DR14,1.64E-09
20141223092910,DR14,5.82E-07
20141223092943,DR14,5.46E-07
20141223093055,DR14,7.21E-07
20141223093209,DR14,3.95E-07
20141223093323,DR14,3.78E-07
20141223093401,DR14,3.36E-07
20141223093428,DR14,6.03E-08
20141223093454,DR14,1.19E-09
20141223093459,DR14,7.73E-09
20141223121246,DR14,1.91E-10
20141223124155,DR14,1.28E-10
20141223131521,DR14,5.17E-10
20141223145544,DR14,1.06E-08
20141223161859,DR14,3.64E-09
20141223161914,DR14,4.52E-09
20141223162825,DR14,7.72E-10
20141223163654,DR14,1.72E-10
20141223171327,DR14,1.32E-10
20141223182417,DR14,1.48E-10
20141223184129,DR14,2.05E-10
20141223191607,DR14,3.36E-09
20141223191906,DR14,6.64E-10
20141223214037,DR14,4.10E-10
20141224002203,DR14,3.82E-10
20141224040141,DR14,1.72E-10
20141224055857,DR14,1.55E-10
20141224073532,DR14,1.98E-10
20141224074408,DR14,4.12E-10
20141224083024,DR14,2.38E-10
20141224120325,DR14,3.28E-10
20141224123100,DR14,1.50E-10
20141224130711,DR14,2.25E-10
20141224140137,DR14,4.79E-10
20141224140442,DR14,3.54E-10
20141224150036,DR14,2.07E-10
20141224150729,DR14,4.17E-10
20141224150956,DR14,2.83E-10
20141224154956,DR14,2.16E-10
20141224164454,DR14,4.86E-10
20141224164726,DR14,7.96E-10
20141224164731,DR14,2.30E-10
20141224171002,DR14,1.45E-10
20141224175503,DR14,1.00E-09
20141224181430,DR14,2.39E-09
20141224204134,DR14,2.27E-10
20141224211455,DR14,1.61E-10
20141224214243,DR14,8.05E-10
20141224222843,DR14,1.67E-10
20141225043454,DR14,1.93E-10
20141225044347,DR14,1.82E-10
20141225055023,DR14,1.67E-10
20141225055609,DR14,1.20E-10
20141225064410,DR14,3.48E-10
20141225064854,DR14,5.87E-10
20141225071104,DR14,3.70E-10
20141225085414,DR14,1.15E-10
20141225105917,DR14,2.75E-10
20141225125527,DR14,1.83E-10
20141225141215,DR14,1.91E-10
20141225150926,DR14,1.29E-09
20141225152716,DR14,1.29E-09
20141225173018,DR14,9.27E-09
20141225173030,DR14,3.43E-10
20141225184023,DR14,2.22E-10
20141225184800,DR14,1.33E-10
20141225191103,DR14,3.29E-10
20141225201124,DR14,2.17E-10
20141225203402,DR14,1.47E-10
20141225204151,DR14,3.68E-10
20141225222230,DR14,1.24E-10
20141226010612,DR14,9.84E-10
20141226012145,DR14,6.54E-10
20141226022646,DR14,7.59E-10
20141226024144,DR14,4.62E-10
20141226063544,DR14,2.82E-09
20141226064525,DR14,1.59E-10
20141226070808,DR14,4.08E-10
20141226090005,DR14,1.16E-09
20141226101651,DR14,1.18E-10
20141226101656,DR14,1.74E-10
20141226103858,DR14,3.37E-09
20141226103905,DR14,6.89E-10
20141226125653,DR14,2.82E-10
20141226145949,DR14,2.64E-10
20141226151328,DR14,1.55E-10
20141226151516,DR14,1.82E-09
20141226160227,DR14,1.19E-09
20141226161810,DR14,3.47E-10
20141226181137,DR14,1.23E-08
20141226181758,DR14,2.34E-10
20141226184358,DR14,3.57E-10
20141226192749,DR14,2.66E-09
20141226192814,DR14,3.40E-10
20141226192846,DR14,3.60E-10
20141226192938,DR14,4.06E-10
20141226193041,DR14,2.96E-10
20141226193211,DR14,3.38E-10
20141226193836,DR14,7.07E-10
20141226193845,DR14,5.84E-10
20141226193855,DR14,2.91E-10
20141226193910,DR14,1.74E-10
